timestamp,agent.name,syscheck.path,syscheck.event,rule.description,rule.level,rule.id
"May 7, 2025 @ 05:05:55.457","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:55.431","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\VSS\Diag\BITS Writer","added","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:54.967","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.870","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.854","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.839","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.823","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.807","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.792","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.776","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6","added","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:54.761","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6\Security","added","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:54.761","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UserDataSvc_b7fe6\Security","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.651","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.635","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.621","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.604","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.590","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.573","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.557","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.546","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6","added","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:54.539","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6\Security","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:54.539","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\UnistoreSvc_b7fe6\Security","added","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:53.597","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\TabletInputService\TriggerInfo","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:53.589","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\TabletInputService\TriggerInfo\0","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:52.807","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\FirewallRules","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:52.791","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\AppIso\FirewallRules","added","Registry Value Entry Added to the System","5","752"
