timestamp,agent.name,rule.description,rule.level,rule.id
"May 7, 2025 @ 05:34:54.735","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:34:54.281","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:34:54.235","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:34:54.218","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:34:53.587","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:34:52.896","WIN-3KH74N2U82B","Service startup type was changed","3","61104"
"May 7, 2025 @ 05:34:50.464","WIN-3KH74N2U82B","Windows User Logoff","3","60137"
"May 7, 2025 @ 05:34:50.406","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:20:09.905","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:20:01.845","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:20:01.799","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:13:58.232","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:07:05.495","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:07:05.453","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:06:45.638","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:06:02.229","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.214","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.199","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:02.184","WIN-3KH74N2U82B","Registry Value Entry Deleted.","5","751"
